,Unnamed: 0,budget,popularity,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index,y_test
1212,1212,40000000.0,7.021871000000001,106.0,5.8,114.0,29666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022574090698125767,83769672.29056203
2031,2031,22000000.0,17.772517999999994,108.0,6.0,301.0,36099,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.22677223323128884,35424826.0
3541,3541,29584033.76797455,32.476098,97.0,7.1,538.0,33423,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,17.795835897460442,792.0
3726,3726,5000000.0,11.21273,89.0,7.0,217.0,32807,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,26.317226581744,83769672.29056203
2258,2258,20000000.0,9.129808,126.0,6.4,102.0,34210,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3876272009296299,83769672.29056203
293,293,100000000.0,31.586215000000006,101.0,6.4,572.0,36127,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9834460500634843,100086793.0
3608,3608,5000000.0,0.835617,139.0,5.4,8.0,17934,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.32290535315229785,12200000.0
2390,2390,17900000.0,12.752463,89.0,5.0,206.0,27171,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011573277364460295,6948633.0
3731,3731,4200000.0,16.536374,98.0,6.1,1000.0,34762,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1.4089390303325178,83769672.29056203
962,962,50000000.0,13.298205,119.0,5.9,189.0,34159,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.26628947673284586,49718611.0
4536,4536,29584033.76797455,0.388401,89.0,6.9,7.0,37205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009862573212327624,83769672.29056203
540,540,75000000.0,10.605084,116.0,5.0,166.0,33806,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.233883879035198,51142659.0
4111,4111,29584033.76797455,1.096355,99.0,7.1,19.0,32795,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.02676984157631784,83769672.29056203
3806,3806,4000000.0,12.822534,93.0,4.5,118.0,38506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0011983877376171756,83769672.29056203
1904,1904,25000000.0,3.707511,108.0,4.3,29.0,32613,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.11756302505304556,24362772.0
2625,2625,15000000.0,32.690038,103.0,7.2,886.0,34625,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2483199808746108,15785148.0
298,298,100000000.0,95.007934,180.0,7.9,6571.0,37658,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.16858880083032407,392000694.0
356,356,90000000.0,57.834787,128.0,7.0,5766.0,36195,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.007332143066276091,524028679.0
