,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
0,237000000.0,150.437577,2787965087.0,162.0,7.2,11800.0,36182,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.625480557923712
1,300000000.0,139.082615,961000000.0,169.0,6.9,4500.0,35246,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3402256364963305
2,245000000.0,107.37678799999999,880674609.0,148.0,6.3,4466.0,38328,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.292321709465025
3,250000000.0,112.31295,1084939099.0,165.0,7.6,9106.0,37131,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.06027759695769305
4,260000000.0,43.926995,284139100.0,132.0,6.1,2124.0,37000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09535052966360599
5,258000000.0,115.69981399999999,890871626.0,139.0,5.9,3576.0,35228,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4648289130773892
6,260000000.0,48.681969,591794936.0,100.0,7.4,3330.0,36531,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.82731219536011
7,280000000.0,134.27922900000002,1405403694.0,141.0,7.3,6767.0,38141,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1711251654596303
8,250000000.0,98.885637,933959197.0,153.0,7.4,5293.0,36026,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1524246610315094
9,250000000.0,155.790452,873260194.0,151.0,5.7,7004.0,38477,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22723555042352744
10,270000000.0,57.925623,391081192.0,154.0,5.4,1400.0,34921,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.972514642465525
11,200000000.0,107.92881100000001,586090727.0,106.0,6.1,2965.0,35776,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.177504224935915
12,200000000.0,145.84737900000002,1065659812.0,151.0,7.0,5246.0,34913,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.391294153124389
13,255000000.0,49.046956,89289910.0,149.0,5.9,2311.0,37483,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.37428265265108385
14,225000000.0,99.398009,662845518.0,143.0,6.5,6359.0,37462,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08054888186348308
15,225000000.0,53.978602,419651413.0,150.0,6.3,1630.0,35608,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.82731368035111
16,220000000.0,144.448633,1519557910.0,143.0,7.4,11776.0,37049,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59166602119573
17,380000000.0,135.413856,1045713802.0,136.0,6.4,4948.0,36702,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79964038820392
18,225000000.0,52.035179,624026776.0,106.0,6.2,4160.0,37077,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.031749107596350946
19,250000000.0,120.96574299999999,956019788.0,144.0,7.1,4760.0,38008,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06030260370481574
20,215000000.0,89.866276,752215857.0,136.0,6.5,6586.0,37112,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00897156037563
21,200000000.0,37.668301,310669540.0,140.0,6.2,1398.0,36335,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031749107596350946
22,250000000.0,94.370564,958400000.0,161.0,7.6,4524.0,37644,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033535551770270976
23,180000000.0,42.990906,372234864.0,113.0,5.8,1303.0,35445,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8358475565232708
24,207000000.0,61.226009999999995,550000000.0,187.0,6.6,2337.0,34725,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.292690513887094
25,200000000.0,100.025899,1845034188.0,194.0,7.5,7562.0,31777,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7.414443495024975
26,250000000.0,198.37239499999998,1153304495.0,147.0,7.1,7241.0,38512,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06027759695769305
27,209000000.0,64.928382,303025485.0,131.0,5.5,2114.0,37035,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.774823728958058
28,150000000.0,418.708552,1513528810.0,124.0,6.5,8662.0,38189,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.20422988074027
29,200000000.0,93.004993,1108561013.0,143.0,6.9,7604.0,37232,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09535052966360599
30,200000000.0,35.149586,783766341.0,127.0,6.7,4321.0,34188,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.827316650333112
