,budget,popularity,runtime,vote_average,vote_count,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Documentary,Foreign,TV Movie,Days
0,237000000.0,150.437577,162.0,7.2,11800,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36182
1,300000000.0,139.082615,169.0,6.9,4500,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35246
2,245000000.0,107.37678799999999,148.0,6.3,4466,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38328
3,250000000.0,112.31295,165.0,7.6,9106,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37131
4,260000000.0,43.926995,132.0,6.1,2124,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000
5,258000000.0,115.69981399999999,139.0,5.9,3576,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35228
6,260000000.0,48.681969,100.0,7.4,3330,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36531
7,280000000.0,134.27922900000002,141.0,7.3,6767,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38141
8,250000000.0,98.885637,153.0,7.4,5293,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36026
9,250000000.0,155.790452,151.0,5.7,7004,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38477
10,270000000.0,57.925623,154.0,5.4,1400,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34921
11,200000000.0,107.92881100000001,106.0,6.1,2965,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35776
12,200000000.0,145.84737900000002,151.0,7.0,5246,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34913
13,255000000.0,49.046956,149.0,5.9,2311,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37483
14,225000000.0,99.398009,143.0,6.5,6359,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37462
15,225000000.0,53.978602,150.0,6.3,1630,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35608
16,220000000.0,144.448633,143.0,7.4,11776,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37049
17,380000000.0,135.413856,136.0,6.4,4948,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36702
18,225000000.0,52.035179,106.0,6.2,4160,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37077
19,250000000.0,120.96574299999999,144.0,7.1,4760,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38008
20,215000000.0,89.866276,136.0,6.5,6586,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37112
21,200000000.0,37.668301,140.0,6.2,1398,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36335
22,250000000.0,94.370564,161.0,7.6,4524,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37644
23,180000000.0,42.990906,113.0,5.8,1303,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35445
24,207000000.0,61.226009999999995,187.0,6.6,2337,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34725
25,200000000.0,100.025899,194.0,7.5,7562,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31777
26,250000000.0,198.37239499999998,147.0,7.1,7241,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38512
