,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
0,237000000,150.437577,2787965087,162.0,7.2,11800,36182,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,300000000,139.082615,961000000,169.0,6.9,4500,35246,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,245000000,107.37678799999999,880674609,148.0,6.3,4466,38328,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,250000000,112.31295,1084939099,165.0,7.6,9106,37131,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4,260000000,43.926995,284139100,132.0,6.1,2124,37000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,258000000,115.69981399999999,890871626,139.0,5.9,3576,35228,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,260000000,48.681969,591794936,100.0,7.4,3330,36531,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7,280000000,134.27922900000002,1405403694,141.0,7.3,6767,38141,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,250000000,98.885637,933959197,153.0,7.4,5293,36026,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,250000000,155.790452,873260194,151.0,5.7,7004,38477,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,270000000,57.925623,391081192,154.0,5.4,1400,34921,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,200000000,107.92881100000001,586090727,106.0,6.1,2965,35776,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,200000000,145.84737900000002,1065659812,151.0,7.0,5246,34913,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,255000000,49.046956,89289910,149.0,5.9,2311,37483,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,225000000,99.398009,662845518,143.0,6.5,6359,37462,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,225000000,53.978602,419651413,150.0,6.3,1630,35608,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,220000000,144.448633,1519557910,143.0,7.4,11776,37049,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
